full_name,Team,snaps,snap_percentage
Christian McCaffrey,CAR,1056,0.93
Ezekiel Elliott,DAL,941,0.83
Leonard Fournette,JAC,918,0.88
Todd Gurley,LAR,805,0.75
Le'Veon Bell,NYJ,798,0.83
Saquon Barkley,NYG,737,0.83
Chris Carson,SEA,736,0.70
Nick Chubb,CLE,728,0.68
Aaron Jones,GB,677,0.61
Devonta Freeman,ATL,675,0.65
Joe Mixon,CIN,661,0.59
Alvin Kamara,NO,636,0.69
Miles Sanders,PHI,626,0.53
David Montgomery,CHI,625,0.57
Kenyan Drake,ARI,622,0.69
Dalvin Cook,MIN,615,0.66
Austin Ekeler,LAC,609,0.57
Derrick Henry,TEN,602,0.63
Tarik Cohen,CHI,543,0.50
Devin Singletary,BUF,540,0.67
Carlos Hyde,HOU,538,0.49
Duke Johnson,HOU,531,0.48
Marlon Mack,IND,517,0.54
Phillip Lindsay,DEN,516,0.50
Royce Freeman,DEN,513,0.50
Mark Ingram,BAL,511,0.48
James White,NE,493,0.46
Josh Jacobs,OAK,469,0.56
Giovani Bernard,CIN,457,0.41
David Johnson,ARI,445,0.50
Latavius Murray,NO,442,0.41
Melvin Gordon,LAC,433,0.54
Ronald Jones,TB,422,0.36
Sony Michel,NE,422,0.36
Adrian Peterson,WAS,407,0.45
Gus Edwards,BAL,402,0.36
Kyle Juszczyk,SF,396,0.49
Tevin Coleman,SF,392,0.42
Jamaal Williams,GB,388,0.40
Frank Gore,BUF,381,0.35
Dion Lewis,TEN,379,0.37
Raheem Mostert,SF,370,0.36
Jaylen Samuels,PIT,369,0.42
Damien Williams,KC,368,0.52
Dare Ogunbowale,TB,367,0.32
CJ Ham,MIN,359,0.35
Peyton Barber,TB,347,0.30
Nyheim Hines,IND,341,0.31
James Conner,PIT,334,0.53
Ty Johnson,DET,318,0.28
Chris Thompson,WAS,317,0.46
Kareem Hunt,CLE,313,0.60
Jalen Richard,OAK,305,0.29
LeSean McCoy,KC,299,0.35
Patrick Laird,MIA,292,0.51
Jordan Howard,PHI,283,0.38
Kerryon Johnson,DET,282,0.52
DeAndre Washington,OAK,273,0.26
Rex Burkhead,NE,264,0.29
J.D. McKissic,DET,262,0.24
Matt Breida,SF,259,0.31
Kalen Ballage,MIA,256,0.33
Brian Hill,ATL,238,0.31
Malcolm Brown,LAR,226,0.23
Zach Line,NO,221,0.27
Chase Edmonds,ARI,209,0.31
Alec Ingold,OAK,209,0.20
Tony Pollard,DAL,204,0.19
Alexander Mattison,MIN,200,0.23
Keith Smith,ATL,197,0.17
Justice Hill,BAL,193,0.17
Boston Scott,PHI,187,0.28
Jordan Wilkins,IND,178,0.19
Patrick DiMarco,BUF,174,0.16
Dan Vitale,GB,173,0.17
Bo Scarbrough,DET,171,0.43
Benny Snell,PIT,171,0.25
Bilal Powell,NYJ,168,0.20
Wayne Gallman,NYG,167,0.24
T.J. Yeldon,BUF,154,0.36
Ito Smith,ATL,153,0.31
Rashaad Penny,SEA,152,0.21
Ryquell Armstead,JAC,152,0.15
Ty Montgomery,NYJ,149,0.14
Wendell Smallwood,WAS,143,0.20
Ameer Abdullah,MIN,137,0.13
Alex Armah,CAR,137,0.12
Dontrell Hilliard,CLE,134,0.13
Andy Janovich,DEN,132,0.29
Elijhaa Penny,NYG,129,0.13
Nick Bawden,DET,127,0.18
C.J. Prosise,SEA,125,0.22
Myles Gaskin,MIA,125,0.25
Derek Watt,LAC,122,0.12
Jamize Olawale,DAL,118,0.10
Darwin Thompson,KC,108,0.14
Darren Sproles,PHI,105,0.23
Derrius Guice,WAS,98,0.30
Anthony Sherman,KC,97,0.09
Brandon Bolden,NE,96,0.10
Justin Jackson,LAC,95,0.20
Darrell Henderson,LAR,95,0.17
Olamide Zaccheaus,ATL,88,0.11
Trey Edmunds,PIT,87,0.25
Travis Homer,SEA,84,0.42
Chandler Cox,MIA,84,0.10
Spencer Ware,KC,82,0.38
Mike Boone,MIN,82,0.20
Mike Davis,CAR,72,0.22
Jakob Johnson,NE,72,0.24
Reggie Bonnafon,CAR,69,0.10
Michael Burton,WAS,68,0.12
Khari Blasingame,TEN,68,0.18
Kenjon Barner,ATL,67,0.09
Jeff Wilson,SF,60,0.11
James Develin,NE,59,0.42
Qadree Ollison,ATL,57,0.11
D'Ernest Johnson,CLE,47,0.08
Kerrith Whyte,PIT,41,0.11
Buddy Howell,HOU,36,0.09
Roosevelt Nix,PIT,35,0.25
Javorius Allen,NYG,32,0.10
Troymaine Pope,LAC,29,0.17
Devine Ozigbo,JAC,29,0.14
Tyler Ervin,GB,28,0.07
Jonathan Hilliman,NYG,27,0.35
Devontae Booker,DEN,26,0.05
Paul Perkins,JAC,24,0.11
Marshawn Lynch,SEA,23,0.31
T.J. Logan,TB,23,0.03
Wes Hills,DET,23,0.36
Dalyn Dawkins,TEN,20,0.16
Dwayne Washington,NO,18,0.06
Ricky Ortiz,NO,17,0.25
Tony Brooks-James,MIN,15,0.06
Taiwan Jones,HOU,14,0.22
Cullen Gillaspia,HOU,13,0.03
Samaje Perine,MIA,11,0.05
Dexter Williams,GB,10,0.07
Senorise Perry,BUF,9,0.14
Ryan Nall,CHI,8,0.03
Trayveon Williams,CIN,8,0.03
Jordan Scarlett,CAR,7,0.05
De'Lance Turner,MIA,5,0.06
Damien Harris,NE,5,0.06
David Fluellen,TEN,4,0.07
John Kelly,LAR,4,0.05
Josh Ferguson,WAS,3,0.06
Jeremy McNichols,JAC,3,0.04
Corey Clement,PHI,3,0.04
Rod Smith,OAK,1,0.01
Trenton Cannon,NYJ,1,0.01