full_name,totalsnaps,snappercentage
A.J. Brown,695,0.68
Adam Humphries,390,0.51
Adam Thielen,443,0.68
Albert Wilson,441,0.49
Alex Erickson,628,0.56
Alexander Hollins,71,0.24
Allen Hurns,527,0.55
Allen Lazard,484,0.44
Allen Robinson,1025,0.94
Alshon Jeffery,504,0.68
Amari Cooper,850,0.76
Andre Patton,513,0.64
Andre Roberts,109,0.13
Andy Isabella,160,0.16
Anthony Miller,704,0.65
Antonio Callaway,157,0.15
Ashton Dulin,99,0.13
Auden Tate,666,0.81
Austin Carr,192,0.46
Bennie Fowler,341,0.32
Bobo Wilson,97,0.27
Brandin Cooks,716,0.72
Brandon Zylstra,68,0.14
Braxton Berrios,85,0.12
Breshad Perriman,652,0.64
Byron Pringle,146,0.15
C.J. Board,38,0.14
Calvin Ridley,732,0.76
Cam Sims,57,0.13
Cedrick Wilson,75,0.26
Chad Beebe,44,0.24
Chad Williams,6,0.10
Chester Rogers,414,0.47
Chris Conley,880,0.79
Chris Godwin,957,0.92
Chris Hogan,156,0.32
Chris Lacy,128,0.26
Chris Moore,161,0.21
Christian Blake,339,0.48
Christian Kirk,804,0.94
Cody Core,65,0.08
Cody Hollister,6,0.03
Cody Latimer,373,0.37
Cole Beasley,747,0.73
Cooper Kupp,905,0.80
Cordarrelle Patterson,203,0.19
Corey Davis,733,0.76
Courtland Sutton,942,0.92
Curtis Samuel,970,0.86
Cyril Grayson,7,0.06
D.J. Chark,864,0.82
D.J. Moore,925,0.88
D.K. Metcalf,940,0.84
Da'Mari Scott,30,0.11
DaeSean Hamilton,660,0.64
Damiere Byrd,461,0.63
Damion Ratley,263,0.27
Damion Willis,206,0.34
Danny Amendola,656,0.64
Dante Pettis,317,0.41
Darius Jennings,52,0.10
Darius Slayton,709,0.76
Darrius Shepherd,53,0.15
Darvin Kidsy,25,0.11
Davante Adams,636,0.83
David Moore,318,0.32
Davion Davis,3,0.02
De'Anthony Thomas,23,0.06
DeAndre Carter,213,0.32
DeAndre Hopkins,1000,0.97
DeAndrew White,60,0.11
Dede Westbrook,757,0.73
Deebo Samuel,728,0.71
Demarcus Robinson,745,0.70
Demaryius Thomas,469,0.65
Deon Cain,308,0.35
Deontay Burnett,15,0.20
Deonte Harris,68,0.09
DeSean Jackson,67,0.26
DeVante Parker,914,0.84
Devin Funchess,36,0.57
Devin Smith,136,0.51
Diontae Johnson,666,0.65
Diontae Spencer,71,0.08
Donte Moncrief,110,0.11
Dontrelle Inman,132,0.43
Duke Williams,179,0.72
Dwayne Harris,7,0.05
Emmanuel Sanders,859,0.77
Fred Brown,101,0.14
Gary Jennings,1,0.01
Gehrig Dieter,6,0.04
Geremy Davis,83,0.19
Geronimo Allison,657,0.59
Golden Tate,629,0.86
Greg Ward,310,0.59
Gunner Olszewski,79,0.19
Hunter Renfrow,445,0.53
Isaiah Ford,224,0.39
Isaiah McKenzie,454,0.43
Ishmael Hyman,59,0.40
J.J. Arcega-Whiteside,492,0.42
Jake Kumerow,335,0.35
Jakeem Grant,219,0.35
Jakobi Meyers,420,0.37
Jaleel Scott,17,0.25
Jalen Guyton,19,0.10
James Washington,649,0.68
Jamison Crowder,815,0.79
Jarius Wright,703,0.62
Jaron Brown,379,0.38
Jarvis Landry,998,0.94
Jason Moore,77,0.14
Javon Wims,494,0.46
Jaydon Mickens,26,0.51
Jeff Smith,14,0.24
John Brown,934,0.91
John Ross,410,0.71
John Ursua,11,0.05
Johnny Holton,271,0.26
Jordan Matthews,140,0.66
Josh Bellamy,67,0.20
Josh Gordon,464,0.59
Josh Malone,21,0.16
Josh Reynolds,490,0.43
JuJu Smith-Schuster,580,0.76
Julian Edelman,1009,0.87
Julio Jones,834,0.76
Justin Hardy,199,0.17
Justin Watson,231,0.24
Juwann Winfree,15,0.07
Kalif Raymond,98,0.19
Keelan Cole,380,0.34
Keelan Doss,186,0.35
Keenan Allen,944,0.88
KeeSean Johnson,378,0.55
Keith Kirkwood,12,0.18
Keke Coutee,350,0.55
Kelvin Harmon,493,0.51
Kendrick Bourne,475,0.44
Kenny Golladay,958,0.87
Kenny Stills,604,0.70
Khadarel Hodge,130,0.19
Krishawn Hogan,87,0.16
Laquon Treadwell,176,0.21
Larry Fitzgerald,903,0.85
Lil'Jordan Humphrey,53,0.15
Mack Hollins,419,0.37
Malik Turner,248,0.23
Marcell Ateman,113,0.17
Marcus Johnson,417,0.81
Marqise Lee,114,0.28
Marquez Valdes-Scantling,559,0.50
Marquise Brown,571,0.58
Marquise Goodwin,276,0.46
Marvin Hall,131,0.20
Marvin Jones,837,0.90
Matt Slater,21,0.03
Mecole Hardman,480,0.45
Michael Gallup,853,0.85
Michael Thomas,959,0.89
Michael Walker,9,0.12
Mike Evans,810,0.84
Mike Thomas,34,0.12
Mike Williams,850,0.85
Miles Boykin,433,0.38
Mohamed Sanu,769,0.74
N'Keal Harry,220,0.44
Nelson Agholor,706,0.89
Odell Beckham,1017,0.95
Bisi Johnson,547,0.53
Parris Campbell,200,0.41
Paul Richardson,412,0.71
Pharoh Cooper,239,0.28
Phillip Dorsett,567,0.56
Preston Williams,412,0.80
Quincy Enunwa,66,0.92
Randall Cobb,727,0.69
Rashard Davis,1,0.02
Rashard Higgins,177,0.35
Richie James,207,0.21
Riley Ridley,108,0.30
River Cracraft,5,0.06
Robby Anderson,944,0.91
Robert Davis,138,0.33
Robert Foster,219,0.29
Robert Woods,1009,0.94
Russell Gage,527,0.45
Russell Shepard,76,0.37
Ryan Grant,90,0.73
Ryan Switzer,81,0.18
Sammy Watkins,746,0.79
Scott Miller,180,0.24
Seth Roberts,558,0.50
Spencer Schnell,1,0.01
Stanley Morgan,146,0.21
Stefon Diggs,783,0.79
Sterling Shepard,608,0.90
Steven Mitchell,79,0.38
Steven Sims,314,0.32
T.Y. Hilton,485,0.72
Tajae Sharpe,444,0.46
Tavon Austin,307,0.31
Taylor Gabriel,458,0.76
Taywan Taylor,29,0.14
Ted Ginn,620,0.57
Terry McLaurin,784,0.92
Tevin Jones,150,0.46
Tim Patrick,290,0.58
Travis Benjamin,192,0.57
Travis Fulgham,63,0.36
Tre'Quan Smith,464,0.63
Trent Sherfield,258,0.28
Trenton Irwin,9,0.13
Trevor Davis,206,0.39
Trey Quinn,442,0.62
Tyler Boyd,1001,0.89
Tyler Lockett,1010,0.90
Tyreek Hill,567,0.72
Tyrell Williams,743,0.83
Ventell Bryant,23,0.04
Vyncint Smith,319,0.38
Will Fuller,580,0.79
Willie Snead,688,0.61
Zach Pascal,809,0.74
Zay Jones,643,0.64