full_name,fantasypoints,fantasypoints_pg
Michael Thomas,300.1,18.8
Chris Godwin,233.1,16.7
Julio Jones,224.6,15
Cooper Kupp,223.6,14
DeAndre Hopkins,217.5,14.5
Kenny Golladay,215.5,13.5
DeVante Parker,210.2,13.1
Keenan Allen,209.5,13.1
Amari Cooper,207,12.9
Julian Edelman,206.3,12.9
Allen Robinson,205.9,12.9
Mike Evans,199.2,15.3
Jarvis Landry,195.9,12.2
Tyler Lockett,194.2,12.1
A.J. Brown,191.1,11.9
D.J. Chark,189.3,12.6
Robert Woods,187.9,12.5
D.J. Moore,187,12.5
Courtland Sutton,186.4,11.7
John Brown,183.8,12.3
Stefon Diggs,180.5,12
Michael Gallup,179.7,12.8
Tyler Boyd,177.8,11.1
Davante Adams,171.2,14.3
Calvin Ridley,165.5,12.7
Odell Beckham,164.3,10.3
Terry McLaurin,162.9,11.6
Marvin Jones,162.9,12.5
Deebo Samuel,160.7,10.7
Tyreek Hill,159.3,13.3
Jamison Crowder,158.8,9.9
D.K. Metcalf,158.1,9.9
Emmanuel Sanders,157.3,9.3
Cole Beasley,151.3,10.1
Darius Slayton,146,10.4
Curtis Samuel,144.7,9
Larry Fitzgerald,139.9,8.7
Mike Williams,136.8,9.1
Robby Anderson,136.2,8.5
Christian Kirk,134.2,10.3
Diontae Johnson,133.6,8.4
Chris Conley,133,8.3
Golden Tate,127.7,11.6
Randall Cobb,127.4,8.5
Dede Westbrook,123.7,8.2
Marquise Brown,123.4,8.8
Tyrell Williams,122.1,9.4
Breshad Perriman,120.1,8.6
Zach Pascal,114.8,7.2
Sterling Shepard,113.3,11.3
Sammy Watkins,112.5,8.7
James Washington,111.5,7.4
Danny Amendola,109.6,7.3
Will Fuller,109.5,10
Hunter Renfrow,109,8.4
Mecole Hardman,106.5,6.7
T.Y. Hilton,102.6,10.3
Anthony Miller,101.5,6.3
Alshon Jeffery,100.7,11.2
Kenny Stills,100.1,7.7
Adam Thielen,99.4,9.9
Brandin Cooks,96.5,6.9
Mohamed Sanu,94.6,6.3
Corey Davis,93.6,6.2
Steven Sims,92.5,5.8
JuJu Smith-Schuster,92.2,7.7
Phillip Dorsett,86.3,7.8
Allen Lazard,85.3,7.1
Demarcus Robinson,84.9,5.3
Kendrick Bourne,82.8,5.2
Auden Tate,81.5,6.8
John Ross,81,10.1
Willie Snead,79.6,5
Taylor Gabriel,75.8,8.4
Preston Williams,74.8,9.4
Alex Erickson,74.7,4.7
Nelson Agholor,74.5,6.8
Russell Gage,74.3,5.3
Marquez Valdes-Scantling,71.1,4.7
Ted Ginn,70.9,4.7
Tajae Sharpe,69.4,5.3
Adam Humphries,68,5.7
Albert Wilson,67.9,5.2
Allen Hurns,67.6,4.8
Demaryius Thomas,67.3,6.1
Keelan Cole,66.7,4.8
Olabisi Johnson,63.5,4.9
Tre'Quan Smith,62.4,6.2
Josh Gordon,61.2,5.6
Geronimo Allison,58.4,3.9
Damiere Byrd,55.9,5.1
Cody Latimer,54,3.9
Kelvin Harmon,51.9,3.5
Josh Reynolds,51.4,3.4
David Moore,51.1,3.7
Paul Richardson,50.5,5.1
Isaiah McKenzie,49.8,3.8
DaeSean Hamilton,49.7,3.8
Seth Roberts,49.6,3.5
Jakobi Meyers,48.9,4.4
Marcus Johnson,48.2,6
Greg Ward,45.9,7.7
Miles Boykin,44.3,3.4
Pharoh Cooper,43,3.6
Jarius Wright,42.9,2.7
Keke Coutee,41.8,4.6
Tavon Austin,40.9,2.9
Vyncint Smith,40.2,2.9
Jaron Brown,40,4
Trey Quinn,38.5,3.2
Malik Turner,38,3.5
Chester Rogers,37.7,3.4
Isaiah Ford,37,4.6
Jakeem Grant,36.4,4
Marvin Hall,36.3,5.2
KeeSean Johnson,35.5,3.6
Justin Watson,35.4,3.5
Zay Jones,35.4,2.5
Bennie Fowler,34.8,4.4
Scott Miller,34.1,3.8
Jake Kumerow,33.9,2.8
Javon Wims,33.6,3.1
N'Keal Harry,33.4,4.8
DeSean Jackson,32.4,16.2
Marquise Goodwin,32.1,3.6
Damion Ratley,32,3.2
Andy Isabella,30.9,2.6
Cordarrelle Patterson,30.1,1.9
Tim Patrick,29.8,3.7
Parris Campbell,29.1,4.2
Dante Pettis,29,3.2
Justin Hardy,29,2.4
Byron Pringle,29,2.4
Laquon Treadwell,28.9,2.9
Duke Williams,28.6,7.2
J.J. Arcega-Whiteside,27.9,2.8
Kalif Raymond,25,3.1
Trevor Davis,24.4,1.7
Dontrelle Inman,24.1,3.4
Richie James,23.4,1.5
Devin Smith,19.8,6.6
DeAndre Carter,19.7,1.2
Keelan Doss,18.8,3.1
Mack Hollins,17.5,1.5
Deon Cain,16.9,1.5
Christian Blake,14.6,2.1
Brandon Zylstra,14.6,2.9
Antonio Brown,14.1,14.1
Rashard Higgins,13.5,1.9
Antonio Callaway,12.9,3.2
Damion Willis,12.7,1.8
Deonte Harris,12.5,0.9
Braxton Berrios,12.5,0.8
Marcell Ateman,12.1,2
J.J. Nelson,11.6,11.6
TJ Jones,11.3,3.8
Robert Foster,10.8,1.1
Chris Hogan,10.7,1.5
Trent Sherfield,10,0.9
Riley Ridley,9.9,2.5
Khadarel Hodge,9.6,0.8
Andre Patton,8.6,1.1
Tevin Jones,8.1,2
Chad Beebe,8,2.7
Ventell Bryant,8,1
Chris Lacy,7.5,1.5
Cedrick Wilson,7.1,1.8
DeAndrew White,7.1,0.9
Ryan Switzer,6.7,0.7
Travis Benjamin,6,1.2
Deontay Burnett,5.8,5.8
Alexander Hollins,5.6,1.9
Jordan Matthews,5.3,2.7
Jason Moore,5.3,0.9
Geremy Davis,5.3,0.9
Devin Funchess,4.7,4.7
Diontae Spencer,4.7,0.3
Steven Mitchell Jr.,4.7,1.6
Johnny Holton,4.5,0.4
Ishmael Hyman,4.4,2.2
Cody Core,4.3,0.5
Andre Roberts,4.2,0.3
Michael Crabtree,4.2,2.1
C.J. Board,4.1,2.1
Russell Shepard,4,2
Donte Moncrief,3.8,0.8
Cam Sims,3.7,0.9
Da'Mari Scott,3.7,0.7
Chris Moore,3.6,0.5
Marqise Lee,3.4,0.9
Ryan Grant,3.4,1.7
Stanley Morgan Jr.,3.3,0.4
Fred Brown,3.1,0.4
Josh Bellamy,3,0.5
Bobo Wilson,3,0.5
Robert Davis,2.7,0.9
Darius Jennings,2.7,0.3
Ashton Dulin,2.7,0.3
Gunner Olszewski,2.4,0.3
Mike Thomas,2.4,0.3
Cody Hollister,2.3,0.8
Rashard Davis,2.1,2.1
Jeff Smith,1.7,1.7
John Ursua,1.6,1.6
De'Anthony Thomas,1.6,0.1
Austin Carr,1.4,0.4
Dwayne Harris,1.2,0.4
Jaleel Scott,1.1,0.6
Krishawn Hogan,0.9,0.5
Cyril Grayson,0.8,0.8
Brandon LaFell,0,0
Lil'Jordan Humphrey,0,0
Travis Fulgham,0,0
Spencer Schnell,0,0
Matt Slater,0,0
River Cracraft,0,0
Nsimba Webster,0,0
Chad Williams,0,0
Jalen Guyton,0,0
Keon Hatcher,0,0
Juwann Winfree,0,0
Darvin Kidsy,0,0
Keith Kirkwood,0,0
Brandon Tate,0,0
JoJo Natson,0,0
Gehrig Dieter,0,0
Justin Hardee,0,0
Andre Holmes,0,0
Saeed Blacknall,0,0
Martavis Bryant,0,0
Taywan Taylor,0,0
Jordy Nelson,0,0
Jaydon Mickens,0,0
Darrius Shepherd,-1.4,-0.2
Michael Walker,-1.5,-0.2
Quincy Enunwa,-1.9,-1.9
Greg Dortch,-2,-1
Ray-Ray McCloud,-2,-0.3